1,1234Banana,BananaKing,Humphrey,Appleby,12345677890,Yes@Yes.Yes,Has a knighthood,Absolute Champion Bloke - ACB
2,5678Orange,CombOvers22,Monald,Bump,987654321,Nope@Nope.Nope,spray painted orange,lots of complaints
3,AOA43,AussieOutbackAdventures,Yes,Yep,90789092385,HAHA@HAHA.HAHA,Yes,Yes indeed
4,mwolt3,rumbletumble,420,blzIT,111111111,lel,is LITERALLY JESUS,PRAISE BE
5,test1,testboi1,yahh,yeet,1111112,lol,PLEB 1,POORPER
6,test2,testgirl2,yeet,yahh,1111114,Nope@Nope.Nope,PLEB 2,POORPER
7,test3,testboi2,yahh,yeet,1111116,fam,PLEB 3,POORPER
8,test4,testgirl3,yeet,yahh,1111118,Yes@Yes.Yes,PLEB 4,POORPER
9,test5,testboi3,yahh,yeet,1111120,Nope@Nope.Nope,PLEB 5,POORPER
10,test6,testgirl4,yeet,yahh,1111122,HAHA@HAHA.HAHA,PLEB 6,POORPER
